bookID,title,authors,isbn13,language_code,  num_pages,publication_date,publisher,in_stock,copyID,uID
13146,Black Friday,James Patterson,9780446609326,eng,480,4/1/2000,Vision,2,0,b13146c0
13146,Black Friday,James Patterson,9780446609326,eng,480,4/1/2000,Vision,2,1,b13146c1
4117,The Great Good Thing (The Sylvie Cycle  #1),Roderick Townley,9780689837142,en-US,224,9/1/2003,Simon & Schuster Childrens Books,2,0,b4117c0
4117,The Great Good Thing (The Sylvie Cycle  #1),Roderick Townley,9780689837142,en-US,224,9/1/2003,Simon & Schuster Childrens Books,2,1,b4117c1
16881,The Rediscovery of North America,Barry  Lopez,9780679740995,eng,64,9/1/1992,Vintage,2,0,b16881c0
16881,The Rediscovery of North America,Barry  Lopez,9780679740995,eng,64,9/1/1992,Vintage,2,1,b16881c1
22199,Year Zero,Jeff Long,9781416534426,eng,416,7/1/2006,Atria Books,2,0,b22199c0
22199,Year Zero,Jeff Long,9781416534426,eng,416,7/1/2006,Atria Books,2,1,b22199c1
4717,This Side of Paradise (Paradise  #1),Steven L. Layne,9781589802544,eng,224,3/31/2005,Pelican Publishing,2,0,b4717c0
4717,This Side of Paradise (Paradise  #1),Steven L. Layne,9781589802544,eng,224,3/31/2005,Pelican Publishing,2,1,b4717c1
31974,Mac OS X: Tiger Edition (The Missing Manual),David Pogue,9780596009410,eng,864,7/19/2005,O'Reilly Media,1,0,b31974c0
38633,The Secret Garden,Frances Hodgson Burnett/Graham Rust,9780590240772,eng,298,6/1/1999,Scholastic,1,0,b38633c0
43490,Runaways (Orphans  #5),V.C. Andrews,9780671007638,eng,342,11/1/1998,Pocket Books,2,0,b43490c0
43490,Runaways (Orphans  #5),V.C. Andrews,9780671007638,eng,342,11/1/1998,Pocket Books,2,1,b43490c1
23229,This Is Push: New Stories from the Edge,David Levithan/Patricia McCormick/Matthue Roth/Kevin Waltman/Samantha Schutz/Coe Booth/Eddie de Oliveira/Tanuja Desai Hidier/Kevin Brooks/Chris Wooding/Markus Zusak/Brian James/Kristen Kemp/Eireann Corrigan/Christopher Krovatin/Billy Merrell,9780439890281,eng,240,2/1/2007,Push,1,0,b23229c0
43895,Legends 2 (Legends 1  Volume 2of3),Robert Silverberg/Terry Goodkind/George R.R. Martin/Anne McCaffrey,9780812575231,eng,379,11/1/1999,Tor Books,1,0,b43895c0
11016,Jane Eyre,Charlotte Brontë/Stevie Davies,9780141441146,eng,590,6/29/2006,Penguin Classics,3,0,b11016c0
11016,Jane Eyre,Charlotte Brontë/Stevie Davies,9780141441146,eng,590,6/29/2006,Penguin Classics,3,1,b11016c1
11016,Jane Eyre,Charlotte Brontë/Stevie Davies,9780141441146,eng,590,6/29/2006,Penguin Classics,3,2,b11016c2
29842,Forgotten New York: Views of a Lost Metropolis,Kevin   Walsh,9780060754006,eng,384,9/26/2006,Collins Reference,1,0,b29842c0
21294,The Edge of Honor,P.T. Deutermann,9780312953966,eng,626,5/15/1995,St. Martin's Paperbacks,1,0,b21294c0
